"gene","cluster_id","logFC","p_val","p_adj.loc"
"RP11-712L6.5","Oligodendrocytes",1.79,0.000906,0.034
"RP11-418J17.1","Oligodendrocytes",0.745,0.000963,0.0346
"LINC00862","Oligodendrocytes",1.07,0.000954,0.0346
"THUMPD3-AS1","Oligodendrocytes",0.707,0.00106,0.0351
"LINCR-0001","Oligodendrocytes",1.33,0.00101,0.0351
"RP11-563J2.2","Oligodendrocytes",-1.93,0.00106,0.0351
"AC002310.12","Oligodendrocytes",1.25,0.00104,0.0351
"AC074289.1","Oligodendrocytes",-1.11,0.00141,0.044
"CA3-AS1","Oligodendrocytes",1.33,0.00138,0.044
"RP11-398G24.2","Oligodendrocytes",1.73,0.0014,0.044
"RP11-10L12.4","Oligodendrocytes",1.03,0.00147,0.0444
"RP11-545I5.3","Oligodendrocytes",-1.05,0.00153,0.0444
"AC004112.4","Oligodendrocytes",-1.18,0.00149,0.0444
"AC002117.1","Oligodendrocytes",-0.716,0.00151,0.0444
"AC144652.1","Oligodendrocytes",0.987,0.00158,0.045
"RP11-20E24.1","Oligodendrocytes",-0.827,0.00175,0.049
"SLC2A1-AS1","Oligodendrocytes",-1.09,0.00188,0.0493
"LMCD1-AS1","Oligodendrocytes",-0.675,0.00188,0.0493
"GDNF-AS1","Oligodendrocytes",-1.06,0.00188,0.0493
"RP11-476H16.1","Oligodendrocytes",1.29,0.00179,0.0493
"RP11-804N13.1","Oligodendrocytes precursor cells (OPCs)",-1.53,1.13e-07,9.41e-05
"CASC2","OPALIN+ Oligodendrocytes",-1.21,1.06e-08,1.47e-05
"AC017074.2","OPALIN+ Oligodendrocytes",2.05,1.34e-07,9.27e-05
"RP11-326I11.4","OPALIN+ Oligodendrocytes",-1.32,3.81e-06,0.00175
"RP11-557H15.4","OPALIN+ Oligodendrocytes",-1.05,5.15e-06,0.00178
"RP5-1198O20.4","OPALIN+ Oligodendrocytes",-1.49,1.04e-05,0.00223
"LINC01376","OPALIN+ Oligodendrocytes",-1.42,1.13e-05,0.00223
"RP11-305L7.3","OPALIN+ Oligodendrocytes",1.32,8.11e-06,0.00223
"LINC01630","OPALIN+ Oligodendrocytes",-0.661,2.6e-05,0.00399
"MCM3AP-AS1","OPALIN+ Oligodendrocytes",1.18,2.45e-05,0.00399
"RP11-319G6.1","OPALIN+ Oligodendrocytes",-0.654,3.53e-05,0.00488
"RP11-1129I3.1","OPALIN+ Oligodendrocytes",1.98,5.49e-05,0.00689
"RP4-676J13.2","OPALIN+ Oligodendrocytes",1.8,7.63e-05,0.00878
"CTD-2152M20.2","OPALIN+ Oligodendrocytes",1.14,0.000102,0.00883
"MIR325HG","OPALIN+ Oligodendrocytes",-0.862,8.88e-05,0.00883
"RP11-712L6.5","OPALIN+ Oligodendrocytes",1.72,9.67e-05,0.00883
"AC002117.1","OPALIN+ Oligodendrocytes",-0.833,9.84e-05,0.00883
"AC097724.3","OPALIN+ Oligodendrocytes",-1.49,0.000121,0.00926
"RP4-613B23.1","OPALIN+ Oligodendrocytes",-1.06,0.00012,0.00926
"RP11-384F7.2","OPALIN+ Oligodendrocytes",1.14,0.000146,0.0106
"AC009120.4","OPALIN+ Oligodendrocytes",-0.753,0.000161,0.0111
"LINC01099","OPALIN+ Oligodendrocytes",-0.856,0.00019,0.0125
"LUCAT1","OPALIN+ Oligodendrocytes",1.68,0.000203,0.0127
"RP11-407G23.7","OPALIN+ Oligodendrocytes",-1.57,0.000232,0.0139
"AC005237.4","OPALIN+ Oligodendrocytes",-2.28,0.000318,0.0176
"RP11-428O18.6","OPALIN+ Oligodendrocytes",-1.21,0.000317,0.0176
"MIR181A2HG","OPALIN+ Oligodendrocytes",-0.689,0.000342,0.0182
"AC079807.4","OPALIN+ Oligodendrocytes",-1.61,0.000411,0.0199
"RP11-584P21.2","OPALIN+ Oligodendrocytes",1.39,0.000396,0.0199
"GLIDR","OPALIN+ Oligodendrocytes",-0.856,0.000417,0.0199
"SMIM2-AS1","OPALIN+ Oligodendrocytes",-1.72,0.000437,0.0201
"RP11-84A19.4","OPALIN+ Oligodendrocytes",1.39,0.00051,0.0205
"AC144449.1","OPALIN+ Oligodendrocytes",-0.901,0.000508,0.0205
"RP11-527F13.1","OPALIN+ Oligodendrocytes",1.17,0.000535,0.0205
"BAALC-AS1","OPALIN+ Oligodendrocytes",1.82,0.000507,0.0205
"RP11-983P16.4","OPALIN+ Oligodendrocytes",-0.904,0.000472,0.0205
"RP11-60A24.3","OPALIN+ Oligodendrocytes",1.64,0.000529,0.0205
"CTD-2130O13.1","OPALIN+ Oligodendrocytes",2.51,0.000552,0.0206
"PVRL3-AS1","OPALIN+ Oligodendrocytes",-1.46,0.000608,0.0221
"KB-1460A1.5","OPALIN+ Oligodendrocytes",1.08,0.000655,0.0228
"RP11-563J2.2","OPALIN+ Oligodendrocytes",-2,0.000659,0.0228
"GDNF-AS1","OPALIN+ Oligodendrocytes",-1.25,0.000753,0.0247
"AZIN1-AS1","OPALIN+ Oligodendrocytes",-0.857,0.000769,0.0247
"IFNG-AS1","OPALIN+ Oligodendrocytes",-1.57,0.000746,0.0247
"LINC00862","OPALIN+ Oligodendrocytes",1.02,0.000848,0.026
"AC022182.1","OPALIN+ Oligodendrocytes",-1.23,0.000839,0.026
"P3H2-AS1","OPALIN+ Oligodendrocytes",1.49,0.00101,0.0303
"AC079135.1","OPALIN+ Oligodendrocytes",-1.68,0.0012,0.0344
"LINC01006","OPALIN+ Oligodendrocytes",-0.982,0.00117,0.0344
"AF146191.4","OPALIN+ Oligodendrocytes",0.571,0.00133,0.0375
"RP11-692D12.1","OPALIN+ Oligodendrocytes",-0.793,0.00137,0.0378
"AP001055.6","OPALIN+ Oligodendrocytes",-1.61,0.00141,0.0381
"LINC01481","OPALIN+ Oligodendrocytes",-0.585,0.00157,0.0418
"RP11-66B24.2","OPALIN+ Oligodendrocytes",0.776,0.00161,0.042
"RP11-99E15.2","OPALIN+ Oligodendrocytes",-0.69,0.00176,0.0449
"RP11-476H16.1","OPALIN+ Oligodendrocytes",1.37,0.00183,0.0459
"LINC00536","OPALIN+ Oligodendrocytes",0.877,0.00192,0.0472
"THUMPD3-AS1","OPALIN+ Oligodendrocytes",0.772,0.002,0.0486
"RP11-554F20.1","OPALIN+ Oligodendrocytes",-0.695,0.00206,0.049
