"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","symbol"
"ENSG00000169918",0,1.26434292368027,0.885,0.603,0,"0","ENSG00000169918","OTUD7A"
"ENSG00000073417",0,1.67712944837244,0.934,0.652,0,"0","ENSG00000073417","PDE8A"
"ENSG00000154153",0,1.63640975175526,0.678,0.397,0,"0","ENSG00000154153","FAM134B"
"ENSG00000149633",0,1.34952619681741,0.596,0.315,0,"0","ENSG00000149633","KIAA1755"
"ENSG00000137266",0,1.37886825668662,0.801,0.521,0,"0","ENSG00000137266","SLC22A23"
"ENSG00000237949",0,2.71608684666477,0.379,0.099,0,"0","ENSG00000237949","LINC00844"
"ENSG00000182771",0,1.27193250933348,0.884,0.604,0,"0","ENSG00000182771","GRID1"
"ENSG00000126822",0,2.06318372506009,0.466,0.186,0,"0","ENSG00000126822","PLEKHG3"
"ENSG00000237166",0,6.4492488867374,0.286,0.006,0,"0","ENSG00000237166","AC007163.3"
"ENSG00000226994",0,1.68986706600904,0.504,0.225,0,"0","ENSG00000226994","AC012593.1"
"ENSG00000154654",0,1.36047683548331,0.979,0.701,0,"0","ENSG00000154654","NCAM2"
"ENSG00000157483",0,0.791270635147805,0.712,0.434,0,"0","ENSG00000157483","MYO1E"
"ENSG00000080815",0,1.31783570261256,0.778,0.501,0,"0","ENSG00000080815","PSEN1"
"ENSG00000154655",0,1.39442108532856,0.641,0.364,0,"0","ENSG00000154655","L3MBTL4"
"ENSG00000133056",0,1.97797875469806,0.563,0.286,0,"0","ENSG00000133056","PIK3C2B"
"ENSG00000008441",0,1.31250533637267,0.691,0.414,0,"0","ENSG00000008441","NFIX"
"ENSG00000035664",0,2.4679708931246,0.407,0.132,0,"0","ENSG00000035664","DAPK2"
"ENSG00000149294",0,1.12681805879746,0.983,0.71,0,"0","ENSG00000149294","NCAM1"
"ENSG00000229989",0,1.51560193502517,0.707,0.436,0,"0","ENSG00000229989","MIR181A1HG"
"ENSG00000104833",0,1.41816489740934,0.568,0.297,0,"0","ENSG00000104833","TUBB4A"
"ENSG00000104267",0,1.93258827809472,0.452,0.182,0,"0","ENSG00000104267","CA2"
"ENSG00000033170",0,1.52315417225196,0.905,0.635,0,"0","ENSG00000033170","FUT8"
"ENSG00000075539",0,1.61006409279756,0.972,0.704,0,"0","ENSG00000075539","FRYL"
"ENSG00000075223",0,2.03174419086534,0.441,0.173,0,"0","ENSG00000075223","SEMA3C"
"ENSG00000135678",0,0.804499570967522,0.553,0.286,0,"0","ENSG00000135678","CPM"
"ENSG00000107798",0,1.37117085680521,0.698,0.431,0,"0","ENSG00000107798","LIPA"
"ENSG00000087495",0,1.23893345089523,0.808,0.542,0,"0","ENSG00000087495","PHACTR3"
"ENSG00000122545",0,1.81328724300257,0.95,0.684,0,"0","ENSG00000122545","SEPT7"
"ENSG00000067141",0,1.33351727839858,0.835,0.571,0,"0","ENSG00000067141","NEO1"
"ENSG00000137269",0,1.49032609104858,0.659,0.398,0,"0","ENSG00000137269","LRRC1"
"ENSG00000088387",0,0.691275599755219,0.866,0.605,0,"0","ENSG00000088387","DOCK9"
"ENSG00000156475",0,1.38778332184793,0.971,0.711,0,"0","ENSG00000156475","PPP2R2B"
"ENSG00000072864",0,1.29155561344926,0.546,0.288,0,"0","ENSG00000072864","NDE1"
"ENSG00000235448",0,3.61212903487962,0.328,0.07,0,"0","ENSG00000235448","LURAP1L-AS1"
"ENSG00000245293",0,1.58988161831489,0.501,0.244,0,"0","ENSG00000245293","RP11-286E11.1"
"ENSG00000112561",0,1.44192153240733,0.552,0.296,0,"0","ENSG00000112561","TFEB"
"ENSG00000113578",0,1.54800524443985,0.536,0.28,0,"0","ENSG00000113578","FGF1"
"ENSG00000111912",0,1.26957190359871,0.779,0.523,0,"0","ENSG00000111912","NCOA7"
"ENSG00000148541",0,1.28958885229836,0.722,0.467,0,"0","ENSG00000148541","FAM13C"
"ENSG00000174456",0,1.68487431125486,0.576,0.321,0,"0","ENSG00000174456","C12orf76"
"ENSG00000166348",0,1.15534047517273,0.878,0.625,0,"0","ENSG00000166348","USP54"
"ENSG00000149557",0,1.08959788282749,0.641,0.389,0,"0","ENSG00000149557","FEZ1"
"ENSG00000126803",0,1.44455888867169,0.472,0.22,0,"0","ENSG00000126803","HSPA2"
"ENSG00000006831",0,0.934676264201795,0.802,0.551,0,"0","ENSG00000006831","ADIPOR2"
"ENSG00000184985",0,1.55736475446448,0.577,0.326,0,"0","ENSG00000184985","SORCS2"
"ENSG00000165124",0,3.6906257741098,0.321,0.072,0,"0","ENSG00000165124","SVEP1"
"ENSG00000007237",0,1.38187730690583,0.641,0.392,0,"0","ENSG00000007237","GAS7"
"ENSG00000109686",0,1.39751019274825,0.768,0.521,0,"0","ENSG00000109686","SH3D19"
"ENSG00000196814",0,0.884874448389932,0.843,0.596,0,"0","ENSG00000196814","MVB12B"
"ENSG00000151240",0,1.42302928952685,0.944,0.698,0,"0","ENSG00000151240","DIP2C"
"ENSG00000141449",0,1.49108971994251,0.513,0.267,0,"0","ENSG00000141449","GREB1L"
"ENSG00000170271",0,1.45921347445599,0.562,0.318,0,"0","ENSG00000170271","FAXDC2"
"ENSG00000100146",0,1.63243663994562,0.455,0.211,0,"0","ENSG00000100146","SOX10"
"ENSG00000132199",0,1.77961318561335,0.539,0.296,0,"0","ENSG00000132199","ENOSF1"
"ENSG00000151692",0,1.24517494987622,0.734,0.491,0,"0","ENSG00000151692","RNF144A"
"ENSG00000134243",0,1.13479913723394,0.899,0.657,0,"0","ENSG00000134243","SORT1"
"ENSG00000072422",0,1.77105254491612,0.468,0.227,0,"0","ENSG00000072422","RHOBTB1"
"ENSG00000153956",0,0.822564959072667,0.8,0.559,0,"0","ENSG00000153956","CACNA2D1"
"ENSG00000102760",0,1.28005147873982,0.485,0.244,0,"0","ENSG00000102760","RGCC"
"ENSG00000113319",0,0.78437137891037,0.645,0.405,0,"0","ENSG00000113319","RASGRF2"
"ENSG00000178425",0,1.27145234914689,0.697,0.458,0,"0","ENSG00000178425","NT5DC1"
"ENSG00000159228",0,1.87419401941013,0.444,0.206,0,"0","ENSG00000159228","CBR1"
"ENSG00000175161",0,0.854101009253501,0.975,0.737,0,"0","ENSG00000175161","CADM2"
"ENSG00000170017",0,0.95928260783926,0.897,0.659,0,"0","ENSG00000170017","ALCAM"
"ENSG00000165478",0,1.09740151270651,0.574,0.336,0,"0","ENSG00000165478","HEPACAM"
